Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
57,Colorado NCAA,high,medium,medium,medium,high,medium,medium,medium,high,low,low,high,high,high,medium,high,medium,low,high,high,high,low,low,high,high,medium,high,medium,low,low,medium,low,low,high,medium,high,low,low,low,32
58,Colorado State NCAA,medium,medium,medium,medium,medium,medium,low,high,medium,medium,low,high,medium,medium,low,medium,medium,medium,high,low,high,medium,low,high,medium,low,medium,medium,medium,low,medium,high,low,low,medium,low,medium,medium,medium,64
60,Connecticut NCAA,high,high,low,high,high,high,high,low,high,low,high,low,high,high,low,high,medium,high,high,high,high,medium,high,high,low,high,medium,low,medium,low,low,low,low,low,medium,low,low,medium,medium,1
63,Creighton NCAA,low,medium,medium,medium,high,high,medium,medium,medium,medium,high,low,high,medium,medium,high,low,high,high,high,high,low,low,high,medium,low,low,medium,low,low,low,low,low,medium,medium,low,low,low,low,16
66,Dayton NCAA,low,medium,low,high,medium,medium,medium,low,medium,low,low,low,low,low,low,high,high,high,high,low,high,low,high,high,high,low,high,medium,low,high,low,high,medium,high,high,medium,low,medium,low,32
72,Drake NCAA,low,high,low,high,medium,low,high,low,high,low,low,low,high,medium,medium,high,medium,high,high,low,medium,low,low,high,low,low,medium,medium,medium,medium,high,high,low,low,low,high,medium,low,medium,64
74,Duke NCAA,medium,high,low,high,high,medium,high,low,medium,medium,medium,low,high,medium,medium,high,medium,medium,high,high,medium,medium,medium,high,low,medium,medium,low,low,low,low,low,medium,low,high,medium,medium,low,low,8
75,Duquesne NCAA,high,medium,medium,medium,low,medium,low,high,low,high,low,medium,low,medium,low,low,medium,medium,low,low,medium,high,high,low,high,medium,medium,medium,high,medium,medium,high,high,high,high,medium,high,high,high,32
87,Florida NCAA,medium,medium,medium,low,medium,high,low,medium,medium,low,low,high,high,high,high,high,high,low,medium,high,low,low,high,low,medium,high,high,high,high,low,medium,low,low,high,high,medium,low,high,high,64
89,Florida Atlantic NCAA,low,medium,low,medium,medium,medium,medium,low,low,low,low,low,high,medium,medium,high,medium,medium,high,medium,low,medium,low,high,medium,medium,medium,high,low,medium,medium,medium,low,medium,low,high,low,high,low,64
104,Gonzaga NCAA,low,high,low,high,high,medium,medium,low,low,medium,high,low,high,medium,high,high,low,low,high,high,medium,medium,medium,high,low,high,low,low,low,medium,low,low,medium,low,low,low,low,medium,low,16
105,Grambling NCAA,medium,low,high,low,low,low,medium,low,low,medium,medium,high,low,medium,low,low,high,low,low,low,low,high,low,low,high,low,high,medium,high,low,high,high,high,high,low,high,high,high,high,64
106,Grand Canyon NCAA,low,high,low,high,low,low,high,low,high,low,high,low,medium,low,high,medium,high,medium,medium,high,low,high,high,medium,high,high,high,low,high,low,low,low,medium,medium,low,low,high,high,medium,32
114,Houston NCAA,high,high,low,high,high,high,high,low,high,low,medium,low,medium,low,low,medium,low,medium,low,medium,low,high,high,low,low,high,low,low,high,high,low,medium,high,low,low,low,high,high,high,16
116,Howard NCAA,low,low,high,low,low,low,low,low,low,high,low,high,low,high,high,low,high,high,medium,medium,medium,low,low,medium,high,high,high,high,high,low,high,medium,low,high,high,high,medium,high,high,68
119,Illinois NCAA,high,high,low,high,high,high,medium,medium,medium,medium,low,low,high,high,high,high,high,medium,medium,high,low,low,low,medium,low,high,high,high,low,low,low,low,low,low,medium,low,low,low,low,8
127,Iowa State NCAA,high,high,low,high,high,high,medium,low,high,low,low,low,medium,low,medium,medium,medium,low,low,low,high,high,medium,medium,medium,medium,medium,low,high,high,low,high,high,medium,medium,low,high,high,high,16
132,James Madison NCAA,medium,high,low,high,low,low,high,low,medium,low,high,low,high,medium,high,high,medium,medium,medium,high,medium,high,low,high,low,medium,medium,low,high,low,low,low,low,low,medium,low,high,medium,high,32
133,Kansas NCAA,low,low,medium,medium,high,high,low,high,medium,low,low,high,low,low,high,low,medium,low,medium,medium,high,medium,medium,medium,high,low,low,medium,low,high,low,medium,medium,high,low,low,medium,low,low,32
138,Kentucky NCAA,low,low,medium,medium,high,medium,medium,low,medium,high,medium,low,high,high,high,high,low,medium,high,low,medium,medium,high,high,low,low,medium,high,high,high,high,high,high,medium,medium,high,low,high,high,64
148,Long Beach State NCAA,medium,low,high,low,low,low,low,high,low,high,high,high,medium,high,high,low,high,low,low,medium,medium,high,high,low,high,medium,high,high,medium,high,high,medium,high,high,low,high,high,high,medium,64
150,Longwood NCAA,low,low,high,low,low,low,low,high,low,medium,low,high,low,medium,medium,low,high,low,low,high,low,medium,low,low,high,high,high,medium,high,high,high,low,medium,high,low,high,high,low,high,64
162,Marquette NCAA,high,high,medium,medium,high,high,medium,medium,medium,medium,medium,low,high,high,high,medium,low,high,medium,low,medium,high,medium,high,low,low,low,medium,low,high,high,high,high,low,medium,high,high,high,low,16
169,McNeese State NCAA,low,high,low,high,low,low,high,low,high,low,high,low,medium,low,medium,high,high,low,high,medium,medium,high,high,high,low,high,medium,low,medium,high,low,medium,high,low,medium,low,high,high,medium,64
176,Michigan State NCAA,low,low,high,low,high,high,low,high,medium,high,low,high,low,low,low,low,low,low,low,low,high,high,high,low,low,low,low,low,medium,high,medium,high,high,low,low,medium,high,medium,medium,32
181,Mississippi State NCAA,low,low,high,low,medium,high,low,high,low,high,low,high,low,medium,medium,low,high,medium,low,high,medium,high,medium,low,high,high,medium,medium,medium,high,medium,low,medium,high,high,low,high,medium,high,64
187,Montana State NCAA,low,low,high,low,low,low,low,high,low,high,low,high,medium,high,high,low,low,high,high,low,low,high,low,high,high,low,low,high,high,low,high,high,low,medium,low,high,high,medium,high,68
188,Morehead State NCAA,low,medium,low,medium,low,low,medium,low,medium,low,high,high,medium,low,low,medium,low,high,medium,high,medium,low,high,high,high,high,low,low,medium,low,low,low,low,medium,medium,low,low,low,medium,64
193,NC State NCAA,high,medium,high,low,medium,high,low,high,low,high,low,high,high,high,medium,low,medium,low,low,low,low,high,medium,low,low,low,medium,high,medium,medium,high,high,medium,low,low,medium,medium,high,medium,4
194,Nebraska NCAA,low,low,medium,medium,medium,medium,medium,high,high,low,low,high,medium,medium,high,medium,medium,high,medium,low,high,low,low,medium,medium,low,medium,medium,low,high,low,high,high,medium,high,low,low,high,low,64
195,Nevada NCAA,low,medium,low,high,medium,medium,medium,low,medium,medium,high,low,low,low,low,medium,high,low,high,medium,high,medium,medium,medium,medium,low,high,medium,high,high,medium,medium,high,low,low,medium,medium,medium,high,64
198,New Mexico NCAA,medium,medium,medium,medium,medium,medium,low,high,low,medium,low,medium,high,high,high,medium,medium,low,low,medium,low,high,high,low,low,medium,medium,low,high,medium,medium,medium,high,low,high,low,high,medium,high,64
206,North Carolina NCAA,high,high,low,high,high,high,high,low,medium,low,high,low,high,high,high,high,high,medium,medium,high,low,low,medium,low,low,medium,high,low,low,medium,low,low,low,low,high,low,low,low,medium,16
219,Northwestern NCAA,low,low,medium,low,medium,medium,medium,high,medium,medium,low,high,low,low,low,medium,low,medium,medium,low,high,high,medium,medium,low,low,low,high,high,medium,high,high,high,low,high,high,high,medium,high,32
222,Oakland NCAA,medium,medium,medium,low,low,low,high,low,low,medium,high,high,medium,high,medium,medium,low,high,medium,low,medium,medium,low,low,medium,medium,low,high,low,high,high,high,high,medium,medium,high,low,high,low,32
230,Oregon NCAA,medium,medium,medium,low,medium,high,medium,high,low,medium,low,low,medium,high,medium,low,medium,medium,low,low,low,medium,medium,low,low,low,low,high,medium,medium,high,high,medium,low,medium,high,medium,medium,medium,32
243,Purdue NCAA,high,high,low,high,high,high,high,low,high,low,medium,low,high,high,medium,high,high,low,high,high,high,low,medium,high,medium,high,high,medium,low,medium,low,low,high,high,low,low,low,low,low,2
259,Saint Mary's (CA) NCAA,low,medium,low,high,high,low,high,low,medium,high,high,low,low,low,low,high,low,medium,low,high,high,medium,medium,medium,medium,high,low,low,high,low,low,low,low,medium,low,low,medium,low,medium,64
260,Saint Peter's NCAA,low,low,high,low,low,low,medium,high,low,high,high,high,low,low,low,low,high,low,low,low,low,high,high,low,high,high,high,low,high,low,medium,high,medium,high,high,low,high,high,high,64
262,Samford NCAA,low,high,low,high,low,low,high,low,high,low,high,low,high,high,high,high,high,high,high,low,high,high,medium,high,high,medium,medium,medium,high,medium,high,high,high,high,high,high,high,high,high,64
264,San Diego State NCAA,high,medium,medium,medium,medium,medium,low,medium,medium,low,low,high,medium,medium,medium,low,high,medium,low,medium,low,high,high,low,medium,medium,high,low,medium,high,low,medium,medium,medium,medium,low,medium,medium,medium,16
272,South Carolina NCAA,low,medium,low,high,medium,medium,medium,low,medium,medium,high,low,low,low,low,low,medium,high,low,medium,high,low,low,low,medium,medium,low,high,medium,low,medium,medium,medium,medium,high,medium,low,medium,medium,64
276,South Dakota State NCAA,low,low,high,low,low,low,medium,low,low,medium,low,low,medium,medium,medium,medium,low,high,high,medium,low,low,medium,high,high,low,low,high,low,high,high,medium,medium,high,medium,high,medium,low,low,64
293,Stetson NCAA,low,low,high,low,low,low,low,low,medium,medium,low,high,medium,high,medium,medium,low,high,medium,low,low,low,low,medium,medium,low,low,high,low,medium,high,high,medium,medium,low,high,low,high,low,64
298,TCU NCAA,low,low,high,low,medium,medium,low,high,low,high,low,low,medium,medium,high,low,medium,low,low,high,high,high,medium,low,high,high,medium,medium,high,low,high,low,high,high,medium,high,high,medium,high,64
300,Tennessee NCAA,medium,high,low,high,high,high,medium,low,medium,medium,high,low,high,medium,high,medium,medium,high,low,medium,high,high,high,low,low,medium,medium,low,high,high,low,medium,medium,medium,low,low,high,medium,high,8
304,Texas NCAA,low,low,high,low,medium,high,low,high,medium,high,low,medium,low,low,medium,low,low,low,medium,low,medium,high,high,medium,high,medium,low,medium,high,low,medium,high,medium,high,medium,medium,high,high,high,32
305,Texas A&M NCAA,medium,low,high,low,medium,high,low,high,low,high,low,medium,medium,high,medium,medium,high,medium,low,high,low,medium,medium,low,low,high,high,high,medium,high,high,low,high,low,high,high,medium,medium,medium,32
309,Texas Tech NCAA,low,low,medium,medium,medium,high,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,high,medium,low,high,low,low,medium,high,medium,high,high,low,medium,medium,high,low,medium,high,medium,medium,high,low,64
317,UAB NCAA,low,low,medium,low,low,medium,medium,medium,low,high,medium,low,medium,high,medium,medium,high,low,low,medium,low,medium,high,low,medium,high,high,high,medium,medium,high,medium,medium,high,high,high,low,high,medium,64
330,Utah State NCAA,low,high,low,high,medium,medium,medium,low,medium,low,high,low,medium,medium,medium,medium,high,low,high,medium,high,medium,high,high,medium,low,high,medium,medium,medium,medium,medium,medium,high,low,medium,medium,low,medium,32
337,Vermont NCAA,low,high,low,high,low,low,high,low,high,low,high,low,low,low,low,low,low,high,medium,low,medium,low,medium,medium,low,low,low,low,low,medium,low,high,low,low,high,low,low,low,low,64
339,Virginia NCAA,low,low,medium,medium,low,medium,medium,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,high,high,high,low,low,low,low,low,low,medium,low,high,medium,low,medium,low,high,medium,low,68
343,Wagner NCAA,low,low,high,low,low,low,low,high,low,high,high,high,low,low,low,low,low,medium,low,low,medium,medium,low,low,medium,medium,low,low,medium,high,low,high,high,low,medium,medium,medium,medium,low,64
346,Washington State NCAA,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,high,low,low,high,low,medium,medium,low,medium,medium,low,low,low,low,medium,low,low,low,low,high,32
351,Western Kentucky NCAA,low,low,medium,low,low,low,low,high,low,medium,low,high,medium,medium,high,low,medium,low,low,medium,low,medium,medium,medium,high,low,medium,low,medium,high,low,medium,medium,high,high,low,high,medium,medium,64
356,Wisconsin NCAA,medium,low,high,low,high,high,low,high,medium,medium,low,high,medium,medium,low,medium,medium,medium,medium,medium,low,medium,low,medium,low,medium,medium,high,high,low,high,medium,low,low,high,high,medium,low,high,64
361,Yale NCAA,low,low,medium,medium,low,low,low,low,low,medium,high,medium,low,low,low,medium,low,medium,medium,medium,medium,low,medium,medium,low,low,low,medium,low,high,medium,medium,high,low,medium,medium,medium,low,low,32
